item,transcript_id,corpus_name,speaker_id,age,target_child_id,media_start,media_end,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
stomach,3362,Bernstein,1727,19,1724,947.395,950.228,Dale,010700,318.2061406325772,158.57129144437152,491.49531721485243,-332.9240257704809
stomach,4556,Gleason,2584,52,2582,177.521,181.445,Eddie,eddie,106.16989743292166,79.4333505647735,162.80973650689464,-83.37638594212113
stomach,6603,Bloom,3147,35,3144,7525.973,7532.491,Peter,021019,246.60153788918763,86.3753372706293,498.24879502591057,-411.87345775528127
stomach,6597,Bloom,3147,30,3144,7277.53,7279.509,Peter,020522,249.54553806213355,215.73243407534167,310.7701817424118,-95.03774766707014
stomach,6598,Bloom,3154,31,3144,1813.364,1814.526,Peter,020713,146.3191856063178,92.48289902793309,228.6581420816543,-136.1752430537212
stomach,7887,Brent,3850,9,3849,266.939,268.474,Dillon,000828,270.40195475476895,144.20710808602007,396.1501709681314,-251.94306288211135
stomach,7887,Brent,3850,9,3849,271.731,273.782,Dillon,000828,256.436042403197,79.49341742027367,439.2501108937027,-359.75669347342904
stomach,7887,Brent,3850,9,3849,1167.088,1169.388,Dillon,000828,245.04933787078784,196.82898720660006,305.58636974284866,-108.7573825362486
stomach,8042,Brent,3884,11,3883,422.61,424.087,Xavier,001028,135.1070752214045,96.686671584182,164.85738909631874,-68.17071751213675
stomach,8062,Brent,3890,15,3887,2090.871,2092.878,Maggie,010228,239.93069198805708,117.37039031819126,318.28956209252567,-200.91917177433442
stomach,8104,Nelson,3900,25,3898,13.084,14.663,Emily,020102,269.45484202694394,214.21528913575264,319.1789362076616,-104.96364707190895
stomach,8104,Nelson,3899,25,3898,35.211,38.798,Emily,020102,135.80150446461997,88.41398209477175,373.724072678893,-285.3100905841212
stomach,8106,Nelson,3899,26,3898,29.512,32.939,Emily,020127,264.8031348555911,100.58001083707613,490.85406893935976,-390.2740581022836
stomach,8106,Nelson,3899,26,3898,42.681,44.993,Emily,020127,144.17154979516107,72.26925016652694,199.65866565484737,-127.38941548832042
stomach,8106,Nelson,3899,26,3898,91.765,96.594,Emily,020127,181.95172036471294,92.0079554725892,434.423099558431,-342.4151440858418
stomach,8104,Nelson,3899,25,3898,1030.348,1032.809,Emily,020102,121.13120360922208,91.5184286546082,182.04697671933488,-90.52854806472668
stomach,8071,Brent,3904,15,3892,1544.377,1545.873,Vas,010221,243.36114639057914,76.32155521197264,332.84813554594683,-256.5265803339742
stomach,8072,Brent,3893,14,3892,3705.47,3708.077,Vas,010116,219.03393475172305,73.30375159208009,331.56624403590143,-258.2624924438213
stomach,8225,Braunwald,3907,26,3906,614.283,615.409,Laura,020212b,174.64620590797202,75.14903683372731,262.8450274767907,-187.69599064306337
stomach,8212,Braunwald,3908,25,3906,826.245,829.577,Laura,020113,239.67505366608086,75.84034948587133,385.5415335733077,-309.70118408743633
stomach,8268,Braunwald,3907,31,3906,190.792,192.614,Laura,020624,221.7841536157514,91.81229919012915,481.77284173439415,-389.96054254426497
stomach,8268,Braunwald,3907,31,3906,196.666,199.604,Laura,020624,221.80015022499848,76.75662115089516,452.2201650057465,-375.4635438548513
stomach,8301,Braunwald,3908,43,3906,246.044,248.494,Laura,030618b,297.3798160848841,75.8641615708318,461.9310388852491,-386.0668773144173
stomach,8295,Braunwald,3908,42,3906,870.379,874.06,Laura,030528b,342.6958269780821,203.9769906519113,456.93143423933356,-252.95444358742225
stomach,8313,Braunwald,3907,43,3906,410.172,412.865,Laura,030702d,305.43451963341283,74.8283838939684,476.7080354394016,-401.8796515454332
stomach,8317,Braunwald,3908,48,3906,837.577,839.957,Laura,031117,288.2913340241302,83.14551294391573,450.01148376514806,-366.86597082123234
stomach,8317,Braunwald,3908,48,3906,847.829,849.175,Laura,031117,344.36380130379604,299.06050771089804,467.4630612522732,-168.40255354137514
stomach,8328,Braunwald,3907,51,3906,239.044,241.819,Laura,040311a,236.9077895599943,84.55540364088414,471.2192640368829,-386.66386039599877
stomach,8327,Braunwald,3907,51,3906,1093.417,1096.273,Laura,040307a,213.76778705141297,93.25596488940892,359.64462463360013,-266.3886597441912
stomach,9151,Sachs,3941,26,3940,759.064,760.03,Naomi,020125,171.35186066862408,169.71209941951685,172.96397087968296,-3.2518714601661145
stomach,9420,Weist,3986,39,3985,476.199,483.097,Emma,030314,255.45700063987104,72.4441990995162,494.77393183075185,-422.32973273123565
stomach,9417,Weist,3986,38,3985,340.36,342.487,Emma,030126,217.6749791491198,87.66058379733303,288.55615476560416,-200.89557096827113
stomach,9426,Weist,3989,45,3985,1979.351,1980.583,Emma,030907,113.38188692472373,89.12431872738013,285.7673431841674,-196.64302445678726
stomach,9509,Weist,4002,58,4001,1844.423,1846.85,Matt,040921,217.41796632958653,96.56740332141986,355.30543290107306,-258.7380295796532
stomach,10061,NewmanRatner,4956,11,4955,868.878,872.759,5777FC,5777FC-11,291.57731041965695,122.58154295272277,485.49103016907964,-362.90948721635687
stomach,10121,NewmanRatner,5050,24,5048,179.444,188.898,5196AV,5196AV-18,audio file missing,audio file missing,audio file missing,audio file missing
stomach,10154,NewmanRatner,5122,18,5120,739.33,742.485,6510LC,6510LC-18,151.31165267524983,72.48253152183636,393.02357706058746,-320.54104553875106
stomach,10188,NewmanRatner,4279,24,4278,99.242,104.868,4767JC,4767JC-24,256.83571850789104,77.51797020751494,495.7463109405397,-418.22834073302477
stomach,10214,NewmanRatner,5250,24,5249,630.84,635.835,5346GG,5346GG-24,263.3292442787201,177.7735445587451,438.48813073303137,-260.7145861742863
stomach,10397,NewmanRatner,4516,7,4510,266.484,278.203,7013VD,7013VD-07,audio file missing,audio file missing,audio file missing,audio file missing
stomach,10401,NewmanRatner,4538,7,4535,210.79,217.014,7075MB,7075MB-07,audio file missing,audio file missing,audio file missing,audio file missing
stomach,10401,NewmanRatner,4538,7,4535,217.014,222.726,7075MB,7075MB-07,audio file missing,audio file missing,audio file missing,audio file missing
stomach,10703,NewmanRatner,5132,24,5130,303.773,309.028,6691MW,6691MW-18,363.37586749097045,153.0478887910837,484.5803873592376,-331.53249856815387
stomach,10690,NewmanRatner,5106,18,5099,1030.055,1035.927,5928RL,5928RL-18,relevant audio clip missing,relevant audio clip missing,relevant audio clip missing,relevant audio clip missing
stomach,10906,Snow,5565,31,5564,2753.271,2755.986,Nathaniel,020622b,199.23481078131076,75.9898709017584,484.8884235484883,-408.89855264672985
stomach,10898,Snow,5565,30,5564,5179.613,5182.005,Nathaniel,020518b,218.95838333460972,110.83373097129105,452.60555285428194,-341.7718218829909
stomach,10939,Snow,5565,41,5564,2237.645,2240.005,Nathaniel,030421a,232.10306975456515,130.3102934323485,411.68953272972766,-281.3792392973792
stomach,10939,Snow,5565,41,5564,2242.546,2243.196,Nathaniel,030421a,323.0056397622441,132.6435062513351,387.42753597648647,-254.78402972515136
stomach,42249,Providence,22707,39,22704,975.703,980.323,Alex,030301,201.22554476076724,74.88992264076687,304.81291268099665,-229.92299004022976
stomach,42313,Providence,22729,17,22728,1234.161,1237.171,Lily,010423,217.4246494644798,66.33849933613546,497.6726437784459,-431.33414444231045
stomach,42309,Providence,22729,15,22728,2968.141,2975.735,Lily,010228,161.14558606637277,75.13608199585579,297.4680797942592,-222.33199779840342
stomach,42309,Providence,22729,15,22728,2975.736,2979.8,Lily,010228,227.9786420708848,127.11724711161663,491.92419424671544,-364.8069471350988
stomach,42303,Providence,22721,35,22720,3043.965,3050.81,Ethan,021018,269.0564306945583,123.5231407604869,476.2900655491182,-352.7669247886313
stomach,42322,Providence,22729,21,22728,2711.973,2715.57,Lily,010827,240.94856506191934,78.02134612528631,494.65605358130125,-416.63470745601495
stomach,42327,Providence,22729,23,22728,1944.905,1951.52,Lily,011107,209.2819426297243,82.46286609580825,450.70715266590065,-368.2442865700924
stomach,42320,Providence,22729,20,22728,2229.638,2233.323,Lily,010803,249.18407279830527,87.79029779243791,490.2422606727449,-402.451962880307
stomach,42426,Providence,22744,24,22743,1740.52,1744.01,Naima,020004,226.65059377648896,83.22084711822137,323.25277563011775,-240.03192851189638
stomach,42456,Providence,22744,32,22743,2481.895,2482.846,Naima,020811,244.6774908008262,225.35665283673748,274.83066275071263,-49.47400991397515
stomach,42433,Providence,22745,26,22743,2462.11,2464.68,Naima,020202,128.63810441544058,95.53509489651833,239.09664644576733,-143.561551549249
stomach,42530,Providence,22766,20,22764,1584.771,1588.106,William,010718,331.6297463389045,155.05948555358452,511.2932273450522,-356.23374179146765
stomach,42532,Providence,22766,20,22764,3437.486,3442.485,William,010814,173.1937641352686,78.90253262493657,202.8050747841742,-123.90254215923763
stomach,42543,Providence,22766,26,22764,1108.343,1114.02,William,020209,212.4952538905997,75.66511348144641,494.58441592244696,-418.9193024410006
